antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Performance, Processing & Multitasking",Entertainment,0.07309322033898305,0.06885593220338983,0.05614406779661017,0.7681159420289856,11.155406911928653,1.0,0.05111116597242172,4.015558792372882,0.982145552560647,0.654320987654321,0.7509686567410266,0.7917502787068005
Entertainment,"Performance, Processing & Multitasking",0.06885593220338983,0.07309322033898305,0.05614406779661017,0.8153846153846155,11.155406911928653,1.0,0.05111116597242172,5.020745056497178,0.9776761757571854,0.654320987654321,0.8008263736263738,0.7917502787068005
"DDR4, Entertainment",Performance,0.0635593220338983,0.07521186440677965,0.05190677966101695,0.8166666666666668,10.858215962441317,1.0,0.04712636455041655,5.044298921417568,0.9695262720472806,0.5975609756097562,0.8017563955708287,0.7534037558685447
Performance,"DDR4, Entertainment",0.07521186440677965,0.0635593220338983,0.05190677966101695,0.6901408450704226,10.858215962441315,1.0,0.04712636455041655,3.0221494607087833,0.9817425251887697,0.5975609756097562,0.6691096807086867,0.7534037558685447
Performance,Entertainment,0.07521186440677965,0.06885593220338983,0.05614406779661017,0.7464788732394367,10.841170097508128,1.0,0.050965284760126406,3.672846045197742,0.9815859430720353,0.6385542168674699,0.7277315771763689,0.780931744312026
Entertainment,Performance,0.06885593220338983,0.07521186440677965,0.05614406779661017,0.8153846153846155,10.841170097508128,1.0,0.050965284760126406,5.009269067796613,0.9748856977268336,0.6385542168674699,0.8003700766587366,0.780931744312026
"Core i7, Gaming","Gaming Laptop, Intel",0.05190677966101695,0.1271186440677966,0.05190677966101695,1.0,7.866666666666667,1.0,0.04530846021258259,inf,0.9206703910614525,0.4083333333333334,1.0,0.7041666666666667
"16 GB, AMD",Ryzen 7 Octa Core,0.1027542372881356,0.07097457627118645,0.05190677966101695,0.5051546391752577,7.117402677334974,1.0,0.04461384120942258,1.8774055437853108,0.9579307519938317,0.4260869565217391,0.4673500335022158,0.6182489613786737
Ryzen 7 Octa Core,"16 GB, AMD",0.07097457627118645,0.1027542372881356,0.05190677966101695,0.7313432835820896,7.117402677334974,1.0,0.04461384120942258,3.3397481167608287,0.9251623112186721,0.4260869565217391,0.7005762216074292,0.6182489613786737
"Core i7, Gaming Laptop","Gaming, Intel",0.059322033898305086,0.1239406779661017,0.05190677966101695,0.875,7.05982905982906,1.0,0.04455436656133295,7.008474576271187,0.9124839124839125,0.3951612903225806,0.8573155985489722,0.6469017094017094
"DDR4, Performance","Everyday Use, Processing & Multitasking",0.06673728813559322,0.1281779661016949,0.05508474576271186,0.8253968253968254,6.439459530368621,1.0,0.04653049590634875,4.993162557781201,0.9051121976774644,0.393939393939394,0.7997261277941715,0.627574445756264
"DDR4, Entertainment","Everyday Use, Processing & Multitasking",0.0635593220338983,0.1281779661016949,0.05190677966101695,0.8166666666666668,6.371349862258954,1.0,0.043759875035909224,4.755392912172576,0.9002677994274634,0.37121212121212127,0.7897124341838802,0.6108126721763086
"Processing & Multitasking, Ryzen 5 Hexa Core","AMD, Thin and Light Laptop",0.07203389830508475,0.11440677966101695,0.05190677966101695,0.7205882352941176,6.298474945533769,1.0,0.043665613329503014,3.169491525423729,0.9065324760041003,0.3858267716535433,0.6844919786096256,0.5871459694989107
Entertainment,"DDR4, Everyday Use, Processing & Multitasking",0.06885593220338983,0.11970338983050847,0.05190677966101695,0.7538461538461538,6.297617426820967,1.0,0.04366449116633152,3.5762049788135593,0.9034152910310882,0.3798449612403101,0.7203739701934648,0.5937372362151123
Performance,"Everyday Use, Processing & Multitasking",0.07521186440677965,0.1281779661016949,0.06038135593220339,0.8028169014084507,6.2632988010708885,1.0,0.05074085212582591,4.421383171912834,0.9086835071642451,0.4222222222222223,0.7738264336932899,0.63694564078687
Entertainment,"Everyday Use, Processing & Multitasking",0.06885593220338983,0.1281779661016949,0.05402542372881356,0.7846153846153847,6.121296884933249,1.0,0.04519961038494685,4.04774515738499,0.8985032010528898,0.3777777777777778,0.7529488737265166,0.6030514939605849
Performance,"DDR4, Everyday Use, Processing & Multitasking",0.07521186440677965,0.11970338983050847,0.05508474576271186,0.7323943661971831,6.1184095724791225,1.0,0.04608163063774777,3.2895294380017845,0.9045951185126442,0.393939393939394,0.6960051524550431,0.5962856786738128
"16 GB, Gaming Laptop, Intel",Core i7,0.07627118644067797,0.11652542372881355,0.05084745762711865,0.6666666666666666,5.721212121212121,1.0,0.041959925308819306,2.650423728813559,0.8933486238532109,0.3582089552238807,0.6227018385291766,0.5515151515151515
"DDR4, Ryzen 5 Hexa Core","8 GB, AMD, Processing & Multitasking",0.0847457627118644,0.11016949152542373,0.05190677966101695,0.6125,5.559615384615385,1.0,0.04257038207411663,2.296336796063423,0.8960695389266817,0.36296296296296304,0.5645238095238095,0.541826923076923
"DDR4, Ryzen 5 Hexa Core","8 GB, AMD",0.0847457627118644,0.1461864406779661,0.06885593220338983,0.8125,5.557971014492754,1.0,0.05646725079000287,4.553672316384181,0.8960113960113961,0.4248366013071895,0.7803970223325062,0.6417572463768115
"DDR4, Gaming, Processing & Multitasking","Gaming Laptop, Windows 10 Home",0.09957627118644068,0.13453389830508475,0.07309322033898305,0.7340425531914894,5.456190316635952,1.0,0.0596968363975869,3.254152542372881,0.9070417732310315,0.45394736842105265,0.6927003307377796,0.6386748199028314
"Gaming Laptop, Windows 10 Home","DDR4, Gaming, Processing & Multitasking",0.13453389830508475,0.09957627118644068,0.07309322033898305,0.5433070866141733,5.456190316635952,1.0,0.0596968363975869,1.971617475160725,0.9436787114398738,0.45394736842105265,0.4928022232515053,0.6386748199028314
Ryzen 5 Hexa Core,"AMD, Processing & Multitasking, Thin and Light Laptop",0.09110169491525423,0.1048728813559322,0.05190677966101695,0.5697674418604651,5.432933991073527,1.0,0.04235268241884516,2.0805657352267524,0.8977213262927549,0.3602941176470589,0.5193614971790285,0.53235846840498
"8 GB, Gaming Laptop","DDR4, Gaming, Windows 10 Home",0.09004237288135593,0.13241525423728814,0.0646186440677966,0.7176470588235294,5.419670588235294,1.0,0.05269566037058316,3.072695974576271,0.8961812248325349,0.4093959731543623,0.6745528980823099,0.6028235294117646
"DDR4, Processing & Multitasking, Ryzen 5 Hexa Core","8 GB, AMD",0.06567796610169492,0.1461864406779661,0.05190677966101695,0.7903225806451613,5.406264609630668,1.0,0.04230555156564206,4.072033898305084,0.8723217178027673,0.3245033112582782,0.7544224765868887,0.5726975222066386
Ryzen 5 Hexa Core,"8 GB, AMD, Processing & Multitasking",0.09110169491525423,0.11016949152542373,0.05402542372881356,0.5930232558139535,5.382826475849733,1.0,0.04398879632289572,2.186440677966102,0.895836189953837,0.3669064748201439,0.5426356589147288,0.5417039355992845
Ryzen 5 Hexa Core,"8 GB, AMD",0.09110169491525423,0.1461864406779661,0.07097457627118645,0.7790697674418606,5.329288843950119,1.0,0.05765674375179547,3.864629794826051,0.8937828340813416,0.426751592356688,0.741243003058457,0.6322885069093361
Ryzen 5 Hexa Core,"8 GB, AMD, DDR4, Processing & Multitasking",0.09110169491525423,0.10699152542372882,0.05190677966101695,0.5697674418604651,5.325351139765139,1.0,0.04215967035334674,2.075641319285387,0.893630179344465,0.35507246376811596,0.5182211923087534,0.5274579783559752
Ryzen 5 Hexa Core,"8 GB, AMD, DDR4",0.09110169491525423,0.1430084745762712,0.06885593220338983,0.7558139534883721,5.285099052540913,1.0,0.05582761778224648,3.5095843422114608,0.8920566612874306,0.41666666666666663,0.7150659729209188,0.6186477174849268
"8 GB, Gaming","DDR4, Gaming Laptop, Windows 10 Home",0.09322033898305085,0.13347457627118645,0.0646186440677966,0.6931818181818181,5.1933621933621925,1.0,0.052176098822177525,2.824231010671688,0.8904550329400949,0.39869281045751626,0.6459213158479662,0.588654401154401
"Gaming Laptop, Processing & Multitasking","DDR4, Gaming, Windows 10 Home",0.10699152542372882,0.13241525423728814,0.07309322033898305,0.6831683168316831,5.1592871287128705,1.0,0.05892591029876472,2.738314353813559,0.9027627348840407,0.4394904458598725,0.6348118328316348,0.6175841584158415
"DDR4, Gaming, Windows 10 Home","Gaming Laptop, Processing & Multitasking",0.13241525423728814,0.10699152542372882,0.07309322033898305,0.5519999999999999,5.1592871287128705,1.0,0.05892591029876472,1.9933224878934621,0.9292173205216683,0.4394904458598725,0.49832502965599046,0.6175841584158415
"8 GB, DDR4, Gaming","Gaming Laptop, Windows 10 Home",0.09322033898305085,0.13453389830508475,0.0646186440677966,0.6931818181818181,5.1524695776664275,1.0,0.052077348463085316,2.8207784055241674,0.888769725754558,0.39610389610389607,0.6454879270056748,0.5867483894058696
"8 GB, Gaming","Gaming Laptop, Windows 10 Home",0.09322033898305085,0.13453389830508475,0.0646186440677966,0.6931818181818181,5.1524695776664275,1.0,0.052077348463085316,2.8207784055241674,0.888769725754558,0.39610389610389607,0.6454879270056748,0.5867483894058696
"Processing & Multitasking, Ryzen 5 Hexa Core","8 GB, AMD",0.07203389830508475,0.1461864406779661,0.05402542372881356,0.75,5.130434782608695,1.0,0.04349504452743465,3.415254237288136,0.8675799086757991,0.32903225806451614,0.707196029776675,0.5597826086956522
"8 GB, DDR4, Gaming Laptop","Gaming, Windows 10 Home",0.08898305084745763,0.1419491525423729,0.0646186440677966,0.7261904761904762,5.1158493248045485,1.0,0.05198757540936512,3.1337509211495944,0.8831109416698437,0.3885350318471337,0.680893592004703,0.5907071783937455
Ryzen 5 Hexa Core,"AMD, Thin and Light Laptop",0.09110169491525423,0.11440677966101695,0.05296610169491525,0.5813953488372093,5.0818260120585705,1.0,0.042543450158000574,2.1155838041431263,0.8837296037296037,0.3472222222222222,0.5273172360075665,0.5221791559000861
"8 GB, Gaming Laptop","Gaming, Windows 10 Home",0.09004237288135593,0.1419491525423729,0.0646186440677966,0.7176470588235294,5.055662862159789,1.0,0.05183720554438379,3.038930084745763,0.8815817095746101,0.38607594936708856,0.6709368191721132,0.5864354697102722
"Processing & Multitasking, Ryzen 5 Hexa Core","8 GB, AMD, DDR4",0.07203389830508475,0.1430084745762712,0.05190677966101695,0.7205882352941176,5.038779956427015,1.0,0.041605321746624534,3.0671275646743976,0.8637592023110614,0.3181818181818182,0.6739620446448048,0.5417755991285402
"Gaming, Processing & Multitasking","DDR4, Gaming Laptop, Windows 10 Home",0.10911016949152542,0.13347457627118645,0.07309322033898305,0.6699029126213593,5.018955154877485,1.0,0.05852978669922436,2.625062313060818,0.8988264488445432,0.43124999999999997,0.6190566619982435,0.6087609801202034
"DDR4, Gaming Laptop, Windows 10 Home","Gaming, Processing & Multitasking",0.13347457627118645,0.10911016949152542,0.07309322033898305,0.5476190476190476,5.018955154877484,1.0,0.05852978669922436,1.9693354148082067,0.924099075156798,0.43124999999999997,0.4922144838910593,0.6087609801202034
"Gaming, Windows 10 Home","DDR4, Gaming Laptop, Processing & Multitasking",0.1419491525423729,0.1027542372881356,0.07309322033898305,0.5149253731343283,5.011232497307277,1.0,0.05850734343579431,1.8497066492829202,0.9328681338343172,0.4259259259259259,0.4593737334578582,0.6131327896599477
"DDR4, Gaming Laptop, Processing & Multitasking","Gaming, Windows 10 Home",0.1027542372881356,0.1419491525423729,0.07309322033898305,0.7113402061855669,5.011232497307277,1.0,0.05850734343579431,2.9725332929782073,0.8921171055558408,0.4259259259259259,0.6635866106656484,0.6131327896599477
"Core i7, DDR4","Gaming Laptop, Intel",0.0815677966101695,0.1271186440677966,0.05190677966101695,0.6363636363636364,5.006060606060606,1.0,0.04153799195633438,2.4004237288135593,0.8713132311748227,0.3310810810810811,0.5834068843777581,0.5223484848484848
"Gaming, Processing & Multitasking","Gaming Laptop, Windows 10 Home",0.10911016949152542,0.13453389830508475,0.07309322033898305,0.6699029126213593,4.979435822949316,1.0,0.05841420389255961,2.621853190428714,0.8970514742628685,0.42857142857142855,0.6185903910826966,0.6066049996177663
"Gaming Laptop, Windows 10 Home","Gaming, Processing & Multitasking",0.13453389830508475,0.10911016949152542,0.07309322033898305,0.5433070866141733,4.979435822949316,1.0,0.05841420389255961,1.950741525423729,0.9234030475582283,0.42857142857142855,0.4873744230247082,0.6066049996177663
"Ryzen 5 Hexa Core, Thin and Light Laptop","AMD, Processing & Multitasking",0.05296610169491525,0.19915254237288135,0.05190677966101695,0.9800000000000001,4.9208510638297875,1.0,0.041358445848894,40.042372881356115,0.8413459343468931,0.25925925925925924,0.9750264550264551,0.6203191489361702
"8 GB, Gaming Laptop, Windows 10 Home","DDR4, Gaming",0.06673728813559322,0.19809322033898305,0.0646186440677966,0.9682539682539681,4.887870299635005,1.0,0.05139843974432634,25.26006355932195,0.8522915464915056,0.3227513227513227,0.9604118177433896,0.6472285884050589
"Gaming, Windows 10 Home","Gaming Laptop, Processing & Multitasking",0.1419491525423729,0.10699152542372882,0.07309322033898305,0.5149253731343283,4.812767843948573,1.0,0.057905863975869,1.8409713168187742,0.9232778672392198,0.41566265060240964,0.45680848426904613,0.5990468449830058
"Gaming Laptop, Processing & Multitasking","Gaming, Windows 10 Home",0.10699152542372882,0.1419491525423729,0.07309322033898305,0.6831683168316831,4.812767843948573,1.0,0.057905863975869,2.7082229872881354,0.8871353172761187,0.41566265060240964,0.630754186529764,0.5990468449830058
"8 GB, Gaming Laptop","DDR4, Gaming",0.09004237288135593,0.19809322033898305,0.0858050847457627,0.9529411764705882,4.810569361434413,1.0,0.0679683011347314,17.04051906779659,0.8705069058192848,0.4240837696335078,0.9413163415960836,0.6930481283422459
"DDR4, Gaming, Intel","Gaming Laptop, Windows 10 Home",0.11334745762711865,0.13453389830508475,0.07309322033898305,0.6448598130841121,4.793288689381117,1.0,0.057844145001436365,2.4369703389830506,0.8925423787508874,0.41818181818181815,0.5896544229515323,0.5940834498491427
"Gaming Laptop, Windows 10 Home","DDR4, Gaming, Intel",0.13453389830508475,0.11334745762711865,0.07309322033898305,0.5433070866141733,4.793288689381117,1.0,0.057844145001436365,1.9414633255406197,0.9143916413886081,0.41818181818181815,0.48492459947882866,0.5940834498491427
"8 GB, Gaming, Windows 10 Home","DDR4, Gaming Laptop",0.06673728813559322,0.20233050847457626,0.0646186440677966,0.9682539682539681,4.7855065237264185,1.0,0.051115654625107726,25.126588983050762,0.8476023892372677,0.31606217616580307,0.9602015219545099,0.6438128480013297
"Gaming Laptop, Intel, Windows 10 Home","DDR4, Gaming",0.07733050847457627,0.19809322033898305,0.07309322033898305,0.9452054794520548,4.771518570068127,1.0,0.057774570884803214,14.63479872881356,0.8566698281169403,0.3612565445026178,0.9316697128173577,0.657094718335653
"Gaming Laptop, Windows 10 Home","DDR4, Gaming",0.13453389830508475,0.19809322033898305,0.1271186440677966,0.9448818897637795,4.769885047791486,1.0,0.10046839090778512,14.548880145278448,0.9132088943288454,0.6185567010309277,0.9312661874993499,0.7932965598551518
"DDR4, Gaming","Gaming Laptop, Windows 10 Home",0.19809322033898305,0.13453389830508475,0.1271186440677966,0.6417112299465241,4.769885047791486,1.0,0.10046839090778512,2.4155546420440173,0.985590048436812,0.6185567010309277,0.5860164027778687,0.7932965598551518
"AMD, Gaming Laptop, Windows 10 Home","DDR4, Gaming",0.057203389830508475,0.19809322033898305,0.05402542372881356,0.9444444444444444,4.767676767676767,1.0,0.0426938200229819,14.4343220338983,0.8382022471910112,0.26842105263157895,0.930720681050932,0.6085858585858586
"AMD, DDR4, Gaming","Gaming Laptop, Windows 10 Home",0.0847457627118644,0.13453389830508475,0.05402542372881356,0.6375000000000001,4.738582677165355,1.0,0.04262424590634875,2.3874926943308012,0.8620188816267247,0.3269230769230769,0.5811505507955937,0.5195374015748032
"Gaming, Intel, Windows 10 Home","DDR4, Gaming Laptop",0.07627118644067797,0.20233050847457626,0.07309322033898305,0.9583333333333333,4.7364746945898775,1.0,0.05766123240448147,19.144067796610138,0.8540087754287993,0.3556701030927835,0.9477644975652942,0.6597949389179756
"Gaming Laptop, Processing & Multitasking","DDR4, Gaming, Intel",0.10699152542372882,0.11334745762711865,0.057203389830508475,0.5346534653465346,4.716942722309613,1.0,0.045076172436081585,1.9053597187161915,0.8824085057774262,0.35064935064935066,0.4751647207731525,0.5196631812713981
"DDR4, Gaming, Intel","Gaming Laptop, Processing & Multitasking",0.11334745762711865,0.10699152542372882,0.057203389830508475,0.5046728971962616,4.716942722309613,1.0,0.045076172436081585,1.8028661656539813,0.888734014779415,0.35064935064935066,0.4453276571213179,0.5196631812713981
"16 GB, Gaming Laptop, Windows 10 Home","DDR4, Gaming",0.06779661016949153,0.19809322033898305,0.0625,0.921875,4.653743315508021,1.0,0.049069951163458775,10.264406779661018,0.8422187981510015,0.30729166666666663,0.9025759577278731,0.6186915106951871
"Gaming Laptop, Processing & Multitasking, Windows 10 Home","DDR4, Gaming",0.08050847457627118,0.19809322033898305,0.07309322033898305,0.9078947368421053,4.583169152828596,1.0,0.057145037345590344,8.706416464891046,0.8502638081880718,0.3556701030927835,0.8851421817423347,0.6384393470306783
"DDR4, Gaming Laptop, Intel","Gaming, Processing & Multitasking",0.11440677966101695,0.10911016949152542,0.057203389830508475,0.5,4.58252427184466,1.0,0.04472044671071531,1.7817796610169492,0.8827751196172249,0.34394904458598724,0.43876337693222356,0.5121359223300971
"Gaming, Processing & Multitasking","DDR4, Gaming Laptop, Intel",0.10911016949152542,0.11440677966101695,0.057203389830508475,0.5242718446601942,4.58252427184466,1.0,0.04472044671071531,1.861553095814597,0.877526753864447,0.34394904458598724,0.46281414038184604,0.5121359223300971
"8 GB, Gaming","DDR4, Gaming Laptop",0.09322033898305085,0.20233050847457626,0.0858050847457627,0.9204545454545454,4.5492622560685385,1.0,0.06694376615914967,10.027845036319608,0.8603899850005768,0.40909090909090906,0.9002776771701074,0.6722691575440266
"DDR4, Gaming, Processing & Multitasking","Gaming Laptop, Intel",0.09957627118644068,0.1271186440677966,0.057203389830508475,0.574468085106383,4.519148936170214,1.0,0.04454538925596093,2.0512711864406783,0.8648366013071895,0.3375,0.512497417888866,0.5122340425531915
"Core i7, Gaming",Gaming Laptop,0.05190677966101695,0.22139830508474576,0.05190677966101695,1.0,4.516746411483254,1.0,0.04041470662166044,inf,0.8212290502793296,0.23444976076555024,1.0,0.6172248803827751
"Core i7, Gaming, Intel",Gaming Laptop,0.05190677966101695,0.22139830508474576,0.05190677966101695,1.0,4.516746411483254,1.0,0.04041470662166044,inf,0.8212290502793296,0.23444976076555024,1.0,0.6172248803827751
"Gaming, Windows 10 Home","DDR4, Gaming Laptop, Intel",0.1419491525423729,0.11440677966101695,0.07309322033898305,0.5149253731343283,4.500829187396351,1.0,0.05685327492099971,1.8256844850065186,0.9064949006977991,0.3988439306358382,0.45226022995072473,0.5769071310116085
"DDR4, Gaming Laptop, Intel","Gaming, Windows 10 Home",0.11440677966101695,0.1419491525423729,0.07309322033898305,0.6388888888888888,4.500829187396351,1.0,0.05685327492099971,2.376140808344198,0.8783024755564801,0.3988439306358382,0.5791495198902605,0.5769071310116085
"16 GB, DDR4, Gaming","Gaming Laptop, Intel",0.1038135593220339,0.1271186440677966,0.059322033898305086,0.5714285714285714,4.495238095238095,1.0,0.04612539500143637,2.036723163841808,0.8676122931442081,0.34567901234567905,0.5090152565880721,0.519047619047619
"DDR4, Gaming Laptop, Processing & Multitasking","Gaming, Intel",0.1027542372881356,0.1239406779661017,0.057203389830508475,0.5567010309278351,4.49167327517843,1.0,0.044467959997127264,1.9762268427276313,0.8663911845730028,0.3375,0.4939852154726436,0.5091197462331483
"16 GB, DDR4, Gaming","Gaming Laptop, Windows 10 Home",0.1038135593220339,0.13453389830508475,0.0625,0.6020408163265306,4.475012052064921,1.0,0.04853355716748061,2.174760973489787,0.8664903634250912,0.35542168674698793,0.5401793520345715,0.5333038727301944
"16 GB, Gaming, Intel",Gaming Laptop,0.06673728813559322,0.22139830508474576,0.06567796610169492,0.9841269841269842,4.445052023999393,1.0,0.05090244362252227,49.05190677966119,0.8304529310534217,0.29523809523809524,0.9796134326746573,0.6403888509151667
"16 GB, DDR4, Gaming, Intel",Gaming Laptop,0.06038135593220339,0.22139830508474576,0.059322033898305086,0.9824561403508772,4.437505246369513,1.0,0.045953704036196495,44.38029661016963,0.8244282493155097,0.2666666666666667,0.977467478219358,0.6251993620414673
"DDR4, Gaming Laptop","Gaming, Windows 10 Home",0.20233050847457626,0.1419491525423729,0.1271186440677966,0.6282722513089005,4.426037352504493,1.0,0.0983979998563631,2.3082776318930533,0.9704072598494908,0.5853658536585364,0.5667765496735828,0.761897319684301
"Gaming, Windows 10 Home","DDR4, Gaming Laptop",0.1419491525423729,0.20233050847457626,0.1271186440677966,0.8955223880597014,4.426037352504493,1.0,0.0983979998563631,7.634836561743336,0.9021193415637859,0.5853658536585364,0.8690214267308873,0.761897319684301
"AMD, Gaming Laptop","DDR4, Gaming",0.09427966101694915,0.19809322033898305,0.0826271186440678,0.8764044943820225,4.424202367361653,1.0,0.06395095698075266,6.488154853620957,0.8545359124306493,0.393939393939394,0.8458729758211747,0.6467583969236316
"8 GB, DDR4, Gaming Laptop, Windows 10 Home",Gaming,0.06567796610169492,0.22245762711864406,0.0646186440677966,0.9838709677419353,4.422734254992319,1.0,0.050008079574834816,48.20762711864345,0.8282963458607487,0.28909952606635064,0.9792563944800912,0.6371735791090629
"Gaming, Intel","DDR4, Gaming Laptop, Windows 10 Home",0.1239406779661017,0.13347457627118645,0.07309322033898305,0.5897435897435898,4.418396418396418,1.0,0.056550290864694056,2.112155720338983,0.8831291730192945,0.39655172413793094,0.5265500595573945,0.5686813186813187
"DDR4, Gaming Laptop, Windows 10 Home","Gaming, Intel",0.13347457627118645,0.1239406779661017,0.07309322033898305,0.5476190476190476,4.4183964183964175,1.0,0.056550290864694056,1.9365521855486172,0.8928457531625386,0.39655172413793094,0.48361835665342306,0.5686813186813187
"16 GB, Gaming, Windows 10 Home","DDR4, Gaming Laptop",0.06991525423728813,0.20233050847457626,0.0625,0.893939393939394,4.418213549103602,1.0,0.04835401106004022,7.520883777239717,0.8318211652059766,0.297979797979798,0.8670369028934767,0.6014199587498017
"AMD, DDR4, Gaming",Gaming Laptop,0.0847457627118644,0.22139830508474576,0.0826271186440678,0.9750000000000001,4.4038277511961725,1.0,0.06386455041654697,31.14406779661028,0.8444919278252612,0.3696682464454976,0.9678911564625852,0.6741028708133971
"16 GB, Gaming, Intel","DDR4, Gaming Laptop",0.06673728813559322,0.20233050847457626,0.059322033898305086,0.8888888888888888,4.393251890634089,1.0,0.0458190444556162,7.1790254237288105,0.82761066969353,0.2828282828282828,0.8607053268407849,0.5910413030831879
"Gaming, Intel","Gaming Laptop, Windows 10 Home",0.1239406779661017,0.13453389830508475,0.07309322033898305,0.5897435897435898,4.3836058954169195,1.0,0.05641899777362827,2.109573622881356,0.8810788076336681,0.39428571428571435,0.5259705614662775,0.5665253381788815
"Gaming Laptop, Windows 10 Home","Gaming, Intel",0.13453389830508475,0.1239406779661017,0.07309322033898305,0.5433070866141733,4.3836058954169195,1.0,0.05641899777362827,1.9182678258328465,0.8918631259645576,0.39428571428571435,0.47869636005293775,0.5665253381788815
"16 GB, DDR4, Gaming",Gaming Laptop,0.1038135593220339,0.22139830508474576,0.10063559322033898,0.9693877551020408,4.37847866419295,1.0,0.07765144714162597,25.434322033898276,0.8609929078014186,0.4481132075471699,0.9606830487296959,0.7119666048237476
"Gaming, Intel, Processing & Multitasking","DDR4, Gaming Laptop",0.0646186440677966,0.20233050847457626,0.057203389830508475,0.8852459016393444,4.37524675993477,1.0,0.044129066719333525,6.951119854721556,0.8247347007256407,0.2727272727272728,0.8561382883765486,0.5839842073641748
"8 GB, Gaming, Windows 10 Home",Gaming Laptop,0.06673728813559322,0.22139830508474576,0.0646186440677966,0.9682539682539681,4.373357636515531,1.0,0.04984312158862395,24.525953389830423,0.826501181593197,0.28909952606635064,0.9592268653493142,0.6300599984810511
"8 GB, DDR4, Gaming, Windows 10 Home",Gaming Laptop,0.06673728813559322,0.22139830508474576,0.0646186440677966,0.9682539682539681,4.373357636515531,1.0,0.04984312158862395,24.525953389830423,0.826501181593197,0.28909952606635064,0.9592268653493142,0.6300599984810511
"16 GB, Gaming","DDR4, Gaming Laptop, Intel",0.11864406779661017,0.11440677966101695,0.059322033898305086,0.5,4.37037037037037,1.0,0.04574834817581155,1.771186440677966,0.875,0.34146341463414637,0.4354066985645933,0.5092592592592593
"DDR4, Gaming Laptop, Intel","16 GB, Gaming",0.11440677966101695,0.11864406779661017,0.059322033898305086,0.5185185185185185,4.37037037037037,1.0,0.04574834817581155,1.830508474576271,0.8708133971291866,0.34146341463414637,0.45370370370370366,0.5092592592592593
