antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Entertainment, Processing & Multitasking","DDR4, Performance",0.0646186440677966,0.06673728813559322,0.05190677966101695,0.8032786885245903,12.036429872495448,1.0,0.04759430659293307,4.744085451977404,0.9802620935123766,0.6533333333333334,0.7892112167618766,0.790528233151184
"DDR4, Performance","Entertainment, Processing & Multitasking",0.06673728813559322,0.0646186440677966,0.05190677966101695,0.7777777777777778,12.036429872495448,1.0,0.04759430659293307,4.209216101694915,0.9824874331117237,0.6533333333333334,0.7624260727318485,0.790528233151184
Entertainment,"DDR4, Performance, Processing & Multitasking",0.06885593220338983,0.0646186440677966,0.05190677966101695,0.7538461538461538,11.666078184110972,1.0,0.047457402686009766,3.799986758474576,0.9818903670683289,0.6363636363636366,0.7368411882568168,0.7785624211853721
"DDR4, Performance, Processing & Multitasking",Entertainment,0.0646186440677966,0.06885593220338983,0.05190677966101695,0.8032786885245903,11.666078184110972,1.0,0.047457402686009766,4.733315677966105,0.9774423925855732,0.6363636363636366,0.7887316063335759,0.7785624211853721
Performance,"DDR4, Entertainment, Processing & Multitasking",0.07521186440677965,0.059322033898305086,0.05190677966101695,0.6901408450704226,11.63380281690141,1.0,0.04744505889112324,3.0358243451463798,0.988381606938308,0.6282051282051282,0.6706001776424313,0.7825704225352113
"DDR4, Entertainment, Processing & Multitasking",Performance,0.059322033898305086,0.07521186440677965,0.05190677966101695,0.875,11.63380281690141,1.0,0.04744505889112324,7.398305084745763,0.9716859716859717,0.6282051282051282,0.8648339060710195,0.7825704225352113
Performance,"Entertainment, Processing & Multitasking",0.07521186440677965,0.0646186440677966,0.05614406779661017,0.7464788732394367,11.552066497344727,1.0,0.0512839791008331,3.689559792843693,0.9877239620480235,0.6708860759493672,0.7289649562152075,0.8076656661279151
"Entertainment, Processing & Multitasking",Performance,0.0646186440677966,0.07521186440677965,0.05614406779661017,0.8688524590163935,11.552066497344725,1.0,0.0512839791008331,7.05150953389831,0.976537960212825,0.6708860759493672,0.8581863932548401,0.8076656661279151
"DDR4, Performance",Entertainment,0.06673728813559322,0.06885593220338983,0.05190677966101695,0.7777777777777778,11.295726495726496,1.0,0.04731152147371445,4.190148305084746,0.9766499108156317,0.620253164556962,0.7613449627101504,0.7658119658119658
Entertainment,"DDR4, Performance",0.06885593220338983,0.06673728813559322,0.05190677966101695,0.7538461538461538,11.295726495726495,1.0,0.04731152147371445,3.7913797669491522,0.9788720949130505,0.620253164556962,0.736243778922553,0.7658119658119658
"DDR4, Entertainment","Performance, Processing & Multitasking",0.0635593220338983,0.07309322033898305,0.05190677966101695,0.8166666666666668,11.172946859903384,1.0,0.04726102413099684,5.055855161787368,0.9722966109520731,0.6125,0.8022095238095239,0.7634057971014494
"Performance, Processing & Multitasking","DDR4, Entertainment",0.07309322033898305,0.0635593220338983,0.05190677966101695,0.7101449275362319,11.172946859903384,1.0,0.04726102413099684,3.230720338983051,0.9822973760932943,0.6125,0.6904715063282838,0.7634057971014494
